country,year,type,value
Poland,2015,PHARMA,67.9
Poland,2015,DEATH,8249
Poland,2016,PHARMA,70.4
Poland,2016,DEATH,8295
Poland,2017,PHARMA,74.2
Poland,2017,DEATH,8781
Poland,2018,PHARMA,76.7
Poland,2018,DEATH,9017
Poland,2019,PHARMA,78.6
Poland,2019,DEATH,9285
Poland,2020,PHARMA,85
Poland,2020,DEATH,12160
Portugal,2010,PHARMA,57.8
Portugal,2010,DEATH,4748
Portugal,2011,PHARMA,61.3
Portugal,2011,DEATH,4545
Portugal,2012,PHARMA,58
Portugal,2012,DEATH,4875
Portugal,2013,PHARMA,65.6
Portugal,2013,DEATH,4548
Portugal,2014,PHARMA,70.4
Portugal,2014,DEATH,4275
Portugal,2015,PHARMA,75.2
Portugal,2015,DEATH,4406
Portugal,2016,PHARMA,76.3
Portugal,2016,DEATH,4359
Portugal,2017,PHARMA,76
Portugal,2017,DEATH,4147
Portugal,2018,PHARMA,76.8
Portugal,2018,DEATH,4305
Portugal,2019,PHARMA,78.6
Portugal,2019,DEATH,3840
Portugal,2020,PHARMA,0
Portugal,2020,DEATH,0
Slovak Republic,2010,PHARMA,80.4
Slovak Republic,2010,DEATH,651
Slovak Republic,2011,PHARMA,0
Slovak Republic,2011,DEATH,0
Slovak Republic,2012,PHARMA,79.5
Slovak Republic,2012,DEATH,970
Slovak Republic,2013,PHARMA,55.8
Slovak Republic,2013,DEATH,792
Slovak Republic,2014,PHARMA,56
Slovak Republic,2014,DEATH,895
Slovak Republic,2015,PHARMA,0
Slovak Republic,2015,DEATH,0
Slovak Republic,2016,PHARMA,66.4
Slovak Republic,2016,DEATH,762
Slovak Republic,2017,PHARMA,66.6
Slovak Republic,2017,DEATH,721
Slovak Republic,2018,PHARMA,71.1
Slovak Republic,2018,DEATH,828
Slovak Republic,2019,PHARMA,72.9
Slovak Republic,2019,DEATH,695
Slovak Republic,2020,PHARMA,0
Slovak Republic,2020,DEATH,0
Slovenia,2010,PHARMA,43.6
Slovenia,2010,DEATH,255
Slovenia,2011,PHARMA,45.5
Slovenia,2011,DEATH,291
Slovenia,2012,PHARMA,46.7
Slovenia,2012,DEATH,331
Slovenia,2013,PHARMA,48.1
Slovenia,2013,DEATH,337
Slovenia,2014,PHARMA,50.5
Slovenia,2014,DEATH,289
Slovenia,2015,PHARMA,50
Slovenia,2015,DEATH,328
Slovenia,2016,PHARMA,51.6
Slovenia,2016,DEATH,295
Slovenia,2017,PHARMA,30.1
Slovenia,2017,DEATH,327
Slovenia,2018,PHARMA,32.4
Slovenia,2018,DEATH,282
Slovenia,2019,PHARMA,37
Slovenia,2019,DEATH,380
Slovenia,2020,PHARMA,40.6
Slovenia,2020,DEATH,443
Spain,2010,PHARMA,75.1
Spain,2010,DEATH,9799
Spain,2011,PHARMA,76.4
Spain,2011,DEATH,9995
Spain,2012,PHARMA,78.1
Spain,2012,DEATH,9987
Spain,2013,PHARMA,79.6
Spain,2013,DEATH,9391
Spain,2014,PHARMA,81.3
Spain,2014,DEATH,9625
Spain,2015,PHARMA,84.7
Spain,2015,DEATH,10181
Spain,2016,PHARMA,88.6
Spain,2016,DEATH,9310
Spain,2017,PHARMA,51.9
Spain,2017,DEATH,9773
Spain,2018,PHARMA,53
Spain,2018,DEATH,9921
Spain,2019,PHARMA,53.9
Spain,2019,DEATH,9644
Spain,2020,PHARMA,55.6
Spain,2020,DEATH,11297
Sweden,2010,PHARMA,58.4
Sweden,2010,DEATH,1936
Sweden,2011,PHARMA,60.4
Sweden,2011,DEATH,1944
Sweden,2012,PHARMA,62.4
Sweden,2012,DEATH,1963
Sweden,2013,PHARMA,64.9
Sweden,2013,DEATH,1971
Sweden,2014,PHARMA,67.8
Sweden,2014,DEATH,1880
Sweden,2015,PHARMA,70.1
Sweden,2015,DEATH,2030
Sweden,2016,PHARMA,73.2
Sweden,2016,DEATH,2046
Sweden,2017,PHARMA,80.5
Sweden,2017,DEATH,2236
Sweden,2018,PHARMA,47.5
Sweden,2018,DEATH,2156
Sweden,2019,PHARMA,0
Sweden,2019,DEATH,0
Sweden,2020,PHARMA,0
Sweden,2020,DEATH,0
Switzerland,2010,PHARMA,53.4
Switzerland,2010,DEATH,1250
Switzerland,2011,PHARMA,56.2
Switzerland,2011,DEATH,1206
Switzerland,2012,PHARMA,58.4
Switzerland,2012,DEATH,1242
Switzerland,2013,PHARMA,61.1
Switzerland,2013,DEATH,1315
Switzerland,2014,PHARMA,64.2
Switzerland,2014,DEATH,1214
Switzerland,2015,PHARMA,66.5
Switzerland,2015,DEATH,1316
Switzerland,2016,PHARMA,72.6
Switzerland,2016,DEATH,1274
Switzerland,2017,PHARMA,75.4
Switzerland,2017,DEATH,1255
Switzerland,2018,PHARMA,79.1
Switzerland,2018,DEATH,1152
Switzerland,2019,PHARMA,91.9
Switzerland,2019,DEATH,1160
Switzerland,2020,PHARMA,96.3
Switzerland,2020,DEATH,1011
Türkiye,2010,PHARMA,74.9
Türkiye,2010,DEATH,16249
Türkiye,2011,PHARMA,77.8
Türkiye,2011,DEATH,16699
Türkiye,2012,PHARMA,79.9
Türkiye,2012,DEATH,16299
Türkiye,2013,PHARMA,82.3
Türkiye,2013,DEATH,16343
Türkiye,2014,PHARMA,83.6
Türkiye,2014,DEATH,15554
Türkiye,2015,PHARMA,84.7
Türkiye,2015,DEATH,15968
Türkiye,2016,PHARMA,85.3
Türkiye,2016,DEATH,16588
Türkiye,2017,PHARMA,0
Türkiye,2017,DEATH,0
Türkiye,2018,PHARMA,0
Türkiye,2018,DEATH,0
Türkiye,2019,PHARMA,84.5
Türkiye,2019,DEATH,14226
Türkiye,2020,PHARMA,0
Türkiye,2020,DEATH,0
United Kingdom,2010,PHARMA,72.1
United Kingdom,2010,DEATH,6180
United Kingdom,2011,PHARMA,74.2
United Kingdom,2011,DEATH,5823
United Kingdom,2012,PHARMA,74.3
United Kingdom,2012,DEATH,5858
United Kingdom,2013,PHARMA,90
United Kingdom,2013,DEATH,5857
United Kingdom,2014,PHARMA,34
United Kingdom,2014,DEATH,6309
United Kingdom,2015,PHARMA,30.7
United Kingdom,2015,DEATH,6559
United Kingdom,2016,PHARMA,45.8
United Kingdom,2016,DEATH,6768
United Kingdom,2017,PHARMA,52.1
United Kingdom,2017,DEATH,7286
United Kingdom,2018,PHARMA,59.3
United Kingdom,2018,DEATH,7612
United Kingdom,2019,PHARMA,46.4
United Kingdom,2019,DEATH,7817
United Kingdom,2020,PHARMA,39.8
United Kingdom,2020,DEATH,8902
United States,2010,PHARMA,47.9
United States,2010,DEATH,69128
United States,2011,PHARMA,48
United States,2011,DEATH,73831
United States,2012,PHARMA,73.7
United States,2012,DEATH,73932
United States,2013,PHARMA,77.2
United States,2013,DEATH,75578
United States,2014,PHARMA,79.7
United States,2014,DEATH,76488
United States,2015,PHARMA,45.5
United States,2015,DEATH,79535
United States,2016,PHARMA,47.5
United States,2016,DEATH,80058
United States,2017,PHARMA,53.1
United States,2017,DEATH,83564
United States,2018,PHARMA,54.6
United States,2018,DEATH,84946
United States,2019,PHARMA,57.3
United States,2019,DEATH,87647
United States,2020,PHARMA,59.4
United States,2020,DEATH,102188
